id,input,reference_answer
65,"Modemimdeki DSL ışığı kırmızı, bir de fatura ödeme geçmişimi görmek istiyorum.","Modeminizdeki DSL ışığının kırmızı olması, DSL hattınızda bir sinyal sorunu olduğunu gösterir. Ayrıca fatura ödeme geçmişinizi de incelemek istediğinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İlk olarak modeminizdeki DSL ışığının durumunu kontrol edip hattınızda test başlatacağım. Ardından, size fatura ödeme geçmişinizi listeleyebilirim."
66,"İnternetim ara sıra gidiyor, aynı zamanda mobil uygulamayı soracaktım.","İnternet bağlantınızdaki ara sıra yaşanan kesintileri ve mobil uygulamamız hakkındaki sorunuzu anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İnternet bağlantınızın durumunu (hizmet, IP oturumu) kontrol edip çözüm adımlarını uygulayacağım. Ardından, mobil uygulamamızın özelliklerini ve nasıl kullanabileceğinizi size anlatabilirim."
67,"Müşteri ID 3456789, internet hızım düşük ve adres değişikliği talebim vardı.","Müşteri ID 3456789'a ait internet hızınızın düşük olduğunu ve adres değişikliği talebiniz olduğunu anlıyorum. Kimlik doğrulamanız yapıldıktan sonra, hem internet hızınızın neden düşük olduğunu belirlemek için hız testi yapacağım hem de adres değişikliği talebinizi işleme alıp sürecini size anlatacağım."
68,"Modemimdeki tüm ışıklar kapalı ve yeni kampanyaları öğrenmek istiyorum.","Modeminizdeki tüm ışıkların kapalı olması bir arıza göstergesi. Ayrıca yeni kampanyalarımızı merak ettiğinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Öncelikle modeminizi güç döngüsü ile yeniden başlatmayı deneyeceğiz. Eğer sorun devam ederse, modem arızası için bir işlem başlatıp, bu arada size uygun yeni kampanyalarımızı ve indirimlerimizi listeleerek bilgi vereceğim."
69,"İnternet bağlantım sürekli kesiliyor, aynı zamanda telefon hattımı taşıyabilir miyim?","İnternet bağlantınızdaki sürekli kesintileri ve telefon hattınızı taşıma talebinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İlk olarak internet bağlantınızın durumunu (hizmet, bölgesel arıza) kontrol edip çözüm adımlarını (IP oturumu sıfırlama) uygulayacağım. Ardından, telefon hattınızı taşıma süreci, koşulları ve olası ücretlendirmeler hakkında size detaylı bilgi verebilirim."
70,"Faturamda ek ücretler görüyorum ve internetim yavaş.","Faturanızda ek ücretler olduğunu ve internetinizin yavaş çalıştığını anlıyorum. Her iki konuyu da açıklığa kavuşturalım. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Faturanızdaki ek ücretlerin detayını size açıklayacağım ve gerekirse itiraz sürecini başlatacağım. Aynı zamanda, internet hızınızdaki düşüşü kontrol etmek için hız testi yapacak ve IP oturumunuzu sıfırlama gibi adımları uygulayacağım."
71,"Modemin açma kapama düğmesi bozuldu, bir de teknik servis çalışma saatleri nelerdir?","Modeminizin açma kapama düğmesinin bozulması teknik bir arıza ve değişim gerektirebilir. Ayrıca teknik servisimizin çalışma saatlerini de merak ettiğinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Modeminizin durumu için bir arıza kaydı oluşturup değişim sürecini başlatabiliriz. Ardından, size teknik servisimizin haftanın hangi günleri ve hangi saatlerde hizmet verdiğini detaylıca bildireceğim."
72,"İnternetim arada sırada kopuyor, aynı zamanda internet güvenliği hakkında bilgi alabilir miyim?","İnternet bağlantınızdaki ara sıra yaşanan kopmaları ve internet güvenliği hakkında bilgi alma talebinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İnternet bağlantınızın durumunu (hizmet, IP oturumu) kontrol edip çözüm adımlarını uygulayacağım. Ardından, internet güvenliğinizi artırmak için alabileceğiniz önlemler, antivirüs yazılımları, VPN kullanımı gibi genel bilgiler sunabilirim."
73,"Müşteri ID 4567890, internetim çok yavaş, aynı zamanda arkadaşımı getirene kampanya var mı?","Müşteri ID 4567890'a ait internet hızınızın düşük olduğunu ve arkadaşını getirene özel kampanyalarımızı merak ettiğinizi anlıyorum. Kimlik doğrulamanız yapıldıktan sonra, hem internet hızınızı kontrol edip iyileştirme adımları uygulayacağım hem de arkadaşını getirene özel mevcut kampanyalarımızın koşulları ve avantajları hakkında bilgi vereceğim."
74,"Modemim kapanıp açılıyor, bir de son ödeme tarihimi öğrenebilir miyim?","Modeminizin kendiliğinden kapanıp açılması bir arıza belirtisidir. Ayrıca son ödeme tarihinizi öğrenmek istediğinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İlk olarak modeminizin durumu için bir güç döngüsü ve hat testi yapacağım. Ardından, sistemimizden son faturanızın tutarını ve ödeme tarihini sorgulayıp size ileteceğim."
75,"İnternetim çok yavaş, aynı zamanda şikayetimi iletmek istiyorum.","İnternet hızınızın düşük olduğunu ve bir şikayet iletmek istediğinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Öncelikle internet hızınızın neden düşük olduğunu belirlemek için hız testi yapacağım ve IP oturumunuzu sıfırlamayı deneyeceğim. Bu sorunu çözdükten sonra veya paralel olarak, şikayetinizi detaylı bir şekilde kayda alıp ilgili birime ileteceğim."
76,"Faturamı e-posta ile almak istiyorum ve internet bağlantım kopuk kopuk.","Faturanızı e-posta ile almak ve internet bağlantı sorununuzu çözmek istediğinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? İlk olarak e-fatura ayarlarınızı güncelleyecek ve faturanızın e-posta adresinize gönderilmesini sağlayacağım. Ardından, internet bağlantınızdaki kopukluğun nedenlerini (hizmet durumu, IP oturumu) kontrol edip çözüm adımlarını uygulayacağım."
77,"Modemimi resetledim ama internet gelmedi, bir de IP adresimi öğrenebilir miyim?","Modeminizi resetlemenize rağmen internetin gelmemesi ciddi bir arıza göstergesidir. Ayrıca IP adresinizi de öğrenmek istediğinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Öncelikle modeminizi tekrar bir güç döngüsü ile başlatmayı ve hattınızın durumunu kontrol etmeyi deneyeceğiz. Daha sonra, mevcut IP adresinizi size bildirebilirim."
78,"Müşteri ID 9876543, internetim çok yavaş, aynı zamanda adresime fiber gelecek mi?","Müşteri ID 9876543'e ait internet hızınızın düşük olduğunu ve adresinize fiber altyapısının gelip gelmeyeceğini merak ettiğinizi anlıyorum. Kimlik doğrulamanız yapıldıktan sonra, hem internet hızınızı kontrol edip iyileştirme adımları uygulayacağım hem de adresinizdeki fiber altyapı uygunluğunu ve planlanan çalışmaları sorgulayıp size bilgi vereceğim."
79,"Akşamları internet kopuyor, bir de taahhüdümü iptal etmek istiyorum.","Akşamları internetinizin koptuğunu ve taahhüdünüzü iptal etmek istediğinizi anlıyorum. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Öncelikle internet bağlantınızdaki sorunun (hizmet, bölgesel arıza) nedenlerini kontrol edip çözüm adımlarını uygulayacağım. Ardından, taahhüt iptal süreci, erken ayrılık ücretleri ve olası sonuçları hakkında size detaylı bilgi verebilirim."
80,"Modemimden WiFi sinyali gelmiyor ve ev telefonum çalışmıyor.","Modeminizden WiFi sinyali gelmemesi ve ev telefonunuzun çalışmaması, genellikle genel bir modem arızası, güç sorunu veya bölgesel bir kesintiye işaret eder. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim? Öncelikle modeminizi güç döngüsü ile yeniden başlatmayı deneyeceğiz ve ardından hem WiFi hem de ev telefonu hattınızın durumunu kontrol edeceğiz."
81,"Müşteri numarası 999999999 olan kişinin faturasını getirin.","Belirttiğiniz müşteri numarasına (999999999) ait bir kayıt bulunamadı. Lütfen bilgilerinizi kontrol edip tekrar deneyiniz. Size yardımcı olabilmem için geçerli bir müşteri numarası veya kimlik doğrulama bilgisi gerekiyor."
82,"Modemimin model numarası XYZ123 ama ışıkları yanmıyor.","Verdiğiniz 'XYZ123' model numarası geçersiz görünüyor, bu bir modem model numarası değil. Lütfen modemin tam model numarasını (genellikle modemin altında veya arkasında yazar) kontrol edip tekrar deneyiniz. Eğer modeminizde hiç ışık yanmıyorsa, fişten çekip 30 saniye sonra tekrar takmayı da deneyebilirsiniz."
83,"Geçersiz bir tarih verdim: 32.13.2023 için teknisyen randevusu oluştur.","Üzgünüm, '32.13.2023' geçersiz bir tarih formatı. Lütfen randevu için geçerli bir gün, ay ve yıl bilgisi (örneğin GG.AA.YYYY) girerek tekrar deneyiniz."
84,"Müşteri numarası 0000000 ile internetimin durumunu kontrol edin.","Belirttiğiniz müşteri numarasına (0000000) ait bir kayıt bulunamadı. Lütfen bilgilerinizi kontrol edip tekrar deneyiniz. İnternetinizin durumunu kontrol edebilmem için geçerli bir müşteri numarası veya kimlik doğrulama bilgisi gerekiyor."
85,"Çok saçma bir paket istiyorum, adı 'Süper Mega Hızlı Uçan İnternet'.","Anlıyorum, ilginç bir paket adı! Ancak 'Süper Mega Hızlı Uçan İnternet' adında bir paketimiz bulunmamaktadır. Size mevcut ve yasal tarifelerimizdeki internet paketlerini listeleyebilirim. İlgilenir misiniz, böylece size en uygun hızı ve fiyatı sunabilirim?"
86,"Abonelik numaramı unuttum, faturalarımı görmem lazım.","Abonelik numaranızı unuttuğunuzu anlıyorum. Faturalarınıza erişebilmeniz için kimliğinizi doğrulamamız gerekiyor. Lütfen T.C. kimlik numaranızı veya kayıtlı telefon numaranızı söyleyebilir misiniz? Bu sayede size son faturalarınız hakkında bilgi verebilirim."
87,"İstanbul'da bir arıza var mıydı, yanlış adres verdim: 'Cevizlibağ Köyü'.","Üzgünüm, 'Cevizlibağ Köyü' şeklinde bir adres bilgisi geçerli değildir. İstanbul'da bölgesel arıza kontrolü yapabilmem için lütfen ilçe ve mahalle gibi daha doğru adres bilgilerini belirtir misiniz? Örneğin, 'İstanbul, Avcılar, Ambarlı Mahallesi' gibi."
88,"Şifremi hatırlamıyorum, modeme nasıl erişirim?","Modem şifrenizi unuttuğunuzu anlıyorum. Modem şifresini sıfırlama işlemi genellikle modemin arkasındaki küçük bir reset düğmesine 10-15 saniye basılı tutarak yapılır. Bu işlem modemi fabrika ayarlarına döndürecektir ve varsayılan şifresi (genellikle modemin altında yazar) ile tekrar erişebilirsiniz. Ancak bu, tüm ayarlarınızın silineceği anlamına gelir. Adım adım yardımcı olabilirim."
89,"Müşteri ID 1111111'in kullanım kotası, ama tarihi 01.00.2023 olarak belirttim.","Üzgünüm, '01.00.2023' geçersiz bir tarih formatı. Lütfen geçerli bir gün, ay ve yıl bilgisi (örneğin GG.AA.YYYY) girerek tekrar deneyiniz. Örneğin, '01.01.2023' veya '1 Ocak 2023' gibi."
90,"Faturamı ödemek istiyorum ama IBAN numarasını yanlış girdim.","Anladım, faturanızı ödemek isterken IBAN numarası hatası aldınız. Lütfen IBAN numarasını dikkatlice kontrol edip tekrar deneyiniz. Doğru IBAN numaramızı size tekrar verebilirim. Hatalı IBAN girişi ödemenizin ulaşmamasına neden olabilir."
91,"Modemin markasını unuttum, yine de resetleyebilir miyim?","Evet, modemin markasını unutsanız bile resetleme işlemini gerçekleştirebilirsiniz. Çoğu modemin arkasında küçük bir reset düğmesi bulunur. Bu düğmeye bir ataç veya iğne yardımıyla 10-15 saniye kadar basılı tutarak modemi fabrika ayarlarına döndürebilirsiniz. Bu işlem genellikle internet sorunlarını çözmeye yardımcı olur."
92,"Müşteri ID'mi bilmiyorum, internetim kesik kesik.","Müşteri ID'nizi bilmediğinizi anlıyorum. İnternet bağlantınızdaki kesintiyi kontrol edebilmem ve size yardımcı olabilmem için kimliğinizi doğrulamamız gerekiyor. Lütfen kayıtlı telefon numaranızı veya T.C. kimlik numaranızı söyleyebilir misiniz?"
93,"Faturamda 'diğer ücretler' diye bir şey var, anlamadım.","Faturanızdaki 'diğer ücretler' kalemini anlamadığınızı anlıyorum. Bu kalem genellikle ek hizmetler, aktivasyon ücretleri, erken sonlandırma cezaları veya önceki dönemlerden kalan bakiyeler gibi tek seferlik veya periyodik eklemeleri kapsayabilir. Müşteri numaranızı alarak faturanızın detaylarına bakabilir ve bu spesifik ücret kaleminin ne anlama geldiğini size açıklayabilirim."
94,"Bugün saat 25:00 için teknisyen randevusu istiyorum.","Üzgünüm, '25:00' geçerli bir saat dilimi değildir. Randevularımızı 00:00 ile 23:59 saatleri arasında planlayabiliyoruz. Lütfen geçerli bir saat (örneğin, '15:00' veya 'öğleden sonra 3') girer misiniz?"
95,"İnternetim çok yavaş, ama ben hiç müşteri numaramı vermem.","İnternet hızınızdaki düşüşü anlıyorum ve bu konuda size yardımcı olmak isterim. Ancak hattınızın hızını test etmek, bölgesel durumu kontrol etmek veya herhangi bir teknik destek sağlamak için müşteri numaranız veya T.C. kimlik numaranızla kimlik doğrulaması yapmamız yasal bir gerekliliktir. Bu bilgi olmadan hattınızla ilgili işlem yapamıyorum."
96,"Modemimdeki ışıklar dans ediyor, bana şarkı söyler misiniz?","Modeminizdeki ışıkların beklenmedik şekilde davrandığını anlıyorum ve bunun bir sorun olduğunu gösteriyor. Ben bir yapay zeka olduğum için maalesef şarkı söyleme yeteneğim bulunmamaktadır. Ancak internet bağlantınızdaki bu durumu düzeltmenize yardımcı olabilirim. Sorunla ilgili daha fazla detay verebilir misiniz?"
97,"Müşteri ID: INVALID_ID, ping testi yapar mısınız?","Belirttiğiniz 'INVALID_ID' müşteri numarası geçersizdir. Lütfen doğru müşteri numaranızı veya kimlik bilgilerinizi kontrol edip tekrar deneyiniz. Ping testi yapabilmem için geçerli bir müşteri kimliğine ihtiyacım var."
98,"Fatura tarihini hatırlamıyorum, bu ayki borcumu söyleyin.","Fatura tarihinizi hatırlamadığınızı anlıyorum. Size bu aya ait güncel borcunuzu ve son ödeme tarihinizi bildirebilirim. Kimlik doğrulamanız için müşteri numaranızı alabilir miyim?"
99,"Şifremi sıfırlamak istiyorum ama telefon numaramı vermek istemiyorum.","Şifre sıfırlama talebinizi anlıyorum. Ancak güvenlik nedeniyle, kimliğinizi doğrulamak için kayıtlı telefon numaranıza bir doğrulama kodu göndermemiz veya sistemimizde kayıtlı diğer bilgilerinizle (örneğin T.C. kimlik numarası) doğrulama yapmamız gerekmektedir. Bu bilgi olmadan şifre sıfırlama işlemi gerçekleştiremem."
100,"Bana en ucuz internet paketini söyle, ama internet hızım 1 Gbps'den az olmasın.","Anlıyorum, hem en ucuz hem de hızı 1 Gbps'den az olmayan bir internet paketi arıyorsunuz. Şu anki güncel kampanyalarımızda ve paketlerimizde bu spesifik kriterlere (hem en ucuz hem de en az 1 Gbps) tam olarak uyan bir paket maalesef bulunmamaktadır. Ancak, size 1 Gbps hızına yakın veya en uygun fiyatlı yüksek hızlı diğer paketlerimizi önerebilirim. İlgilenir misiniz?"
